OBJECTID,CMPTRL_CNTY_NBR,CNTY_NM,DPS_CNTY_NBR,FIPS_ST_CNTY_CD,TXDOT_CNTY_NBR,TXDOT_DIST_NBR,GID,Shape__Area,Shape__Length,Median_household_income,HS_graduation_rate,Physically_inactive,Smoking,Air pollution particulate matter (average daily PM2.5),Overcrowding, Uninsured,Mental_health_provider_ratio,Self_rated_health
107,92,Gregg,92,48183,93,10,160,1002766017.10938,161500.745735452,53100,95,23,20,9.2,3,21,600,77
44,93,Grimes,93,48185,94,17,78,2810090500.14453,292122.146474178,51700,92,30,21,8.7,4,22,7220,75
10,94,Guadalupe,94,48187,95,15,44,2458985395.32422,282093.242209348,78800,95,21,15,8.5,3,15,3340,81
200,95,Hale,95,48189,96,5,223,3801960826.51563,247074.098766746,49200,92,27,18,6.5,6,22,780,74
235,96,Hall,96,48191,97,25,229,3459169117.57031,235238.199092682,35900,,23,24,5.9,3,28,,69
140,97,Hamilton,97,48193,98,9,120,3001176096.70703,236626.284600035,52500,,24,21,7.1,2,23,1210,78
252,98,Hansford,98,48195,99,4,251,3676774338.51953,242591.787378562,58700,95,22,21,6,4,28,2700,73
204,99,Hardeman,99,48197,100,25,227,2649489903.50391,235488.401205165,40100,,33,21,6.3,2,26,1310,76
35,100,Hardin,100,48199,101,20,69,3130794341.01953,320241.524513478,62600,94,27,21,8.6,2,15,2500,81
20,101,Harris,101,48201,102,12,54,6140883428.11328,483658.27855447,61600,87,22,16,10.1,6,23,800,78
109,102,Harrison,102,48203,103,19,162,3347804218.55859,310125.058565584,55200,88,34,21,8.6,4,19,2890,78
233,103,Hartley,103,48205,104,4,248,5778071108.39063,313709.432615887,72800,,22,17,5.3,4,23,5580,82
180,104,Haskell,104,48207,105,8,183,3374618599.90234,232484.155625886,38600,,33,23,6.4,3,26,1410,73
26,105,Hays,105,48209,106,14,60,2354128850.66016,216452.118495649,72900,91,17,15,8.2,4,18,970,82
229,106,Hemphill,106,48211,107,4,244,3601831831.80859,240039.616131212,71300,98,22,19,5.9,4,24,3820,78
164,107,Henderson,107,48213,108,10,144,3442720582.5625,365708.458190938,49900,95,32,22,8.7,3,22,1760,78
72,108,Hidalgo,108,48215,109,21,4,5130448046.87695,391415.187549514,41700,91,24,15,10.4,12,32,1560,67
161,109,Hill,109,48217,110,9,141,3560834162.67578,306647.874097202,53200,93,37,20,8.5,5,23,2160,78
186,110,Hockley,110,48219,111,5,209,3403160795.77344,233430.882927841,51100,89,26,19,6.4,5,22,1530,76
103,111,Hood,111,48221,112,2,156,1605200798.28906,167017.824043401,74500,93,25,18,8,3,17,1040,83
210,112,Hopkins,112,48223,113,1,194,2939273129.32813,280000.448284812,50300,91,31,21,8.6,4,23,1430,78
128,113,Houston,113,48225,114,11,108,4404715278.53516,375870.197160984,43600,95,32,24,8.6,3,21,4590,73
173,114,Howard,114,48227,115,8,153,3287931082.00781,229377.560852942,61100,90,30,19,6.3,3,19,670,76
155,115,Hudspeth,115,48229,116,24,135,16319382428.4883,607448.683366106,39300,,23,21,5.8,6,28,,64
212,116,Hunt,116,48231,117,1,196,3266818743.55469,251179.776985006,57500,93,32,21,8.7,4,20,1260,78
231,117,Hutchinson,117,48233,118,4,246,3534642157.87891,237855.269829715,57900,96,34,20,6,3,20,10470,79
68,118,Irion,118,48235,119,7,102,3743587921.26172,244894.563084148,68600,,21,17,6,4,13,,82
253,119,Jack,119,48237,120,2,198,3416516272.65625,235432.245718685,55400,95,28,22,7.2,3,23,8940,77
98,120,Jackson,120,48239,121,13,31,2910555629.97266,269631.796480552,55800,97,29,18,7.7,5,19,4920,79
59,121,Jasper,121,48241,122,20,93,3411867497.83984,454632.464399455,47300,94,34,23,8.6,3,17,2220,77
56,122,Jeff Davis,122,48243,123,24,90,7961688118.13672,395023.658449446,53400,,22,15,5.2,5,30,450,81
25,123,Jefferson,123,48245,124,20,59,3436496854.22266,332770.484364673,55200,87,32,20,8.9,3,20,950,76
76,124,Jim Hogg,124,48247,125,21,8,3723550395.74023,269125.495436667,38800,93,22,17,7.1,7,19,,67
80,125,Jim Wells,125,48249,126,16,12,2881682240.56445,292725.518899692,44400,89,25,17,7.6,6,20,1190,70
104,126,Johnson,126,48251,127,2,157,2673476406.85938,219056.745777122,66500,94,29,19,8.8,3,19,1310,80
112,127,Jones,127,48253,128,8,165,3436990860.02344,235956.594592948,51100,95,25,21,6.7,1,19,20080,75
95,128,Karnes,128,48255,129,16,28,2547946890.375,232703.479074312,54800,92,19,19,7.6,6,19,7800,74
108,129,Kaufman,129,48257,130,18,161,2955643189.45313,243269.651448851,75000,96,31,18,8.8,3,18,1090,80
17,130,Kendall,130,48259,131,15,51,2294841242.25781,191314.846613074,94900,99,26,13,7.6,2,15,590,86
74,131,Kenedy,131,48261,66,21,6,5823147873.94727,324614.091007045,46100,,21,23,7.1,9,27,400,62
181,132,Kent,132,48263,132,8,184,3302304111,229644.452588014,52600,,24,18,5.9,1,16,760,82
22,133,Kerr,133,48265,133,15,56,3841344091.05469,304579.61280847,57800,95,25,17,7,3,22,320,81
39,134,Kimble,134,48267,134,7,73,4373951197.4375,290280.635050487,44800,,26,19,6.2,1,21,4340,78
218,135,King,135,48269,135,25,203,3421212658.61328,234046.796738997,71300,,19,18,6,4,22,270,82
101,136,Kinney,136,48271,136,22,34,4666311029.58984,287623.179781472,47100,,21,20,6.4,2,18,,69
77,137,Kleberg,137,48273,137,16,9,3345064965.8457,292188.771720745,47200,89,25,16,7.5,7,19,2050,73
217,138,Knox,138,48275,138,25,202,3202874364.28516,261968.061375678,40800,,21,19,6.4,4,25,,77
85,142,La Salle,142,48283,142,22,18,5053506118.27344,285674.406364106,41700,88,23,16,6.8,10,16,1880,70
192,139,Lamar,139,48277,139,1,215,3501977517.27734,336755.114559503,47100,95,41,22,8.6,3,21,960,78
201,140,Lamb,140,48279,140,5,224,3851566012.86328,248607.091385975,42700,93,27,20,6.4,4,25,4300,71
64,141,Lampasas,141,48281,141,23,98,2535330756.00781,236152.03211806,58800,97,23,18,7.4,2,19,1650,81
2,143,Lavaca,143,48285,143,13,36,3324197351.97656,228583.901837209,52600,96,33,19,7.7,7,17,6720,80
32,144,Lee,144,48287,144,14,66,2210552662.32422,262195.947907468,59300,95,27,19,7.9,4,21,1570,78
132,145,Leon,145,48289,145,17,112,3845484628.59766,347483.968096295,50500,,31,22,8.3,3,26,5800,77
33,146,Liberty,146,48291,146,20,67,4081337369.37891,286352.569953764,53300,92,31,22,9.1,4,22,5190,75
137,147,Limestone,147,48293,147,9,117,3337548951.26563,233275.507764447,43600,95,28,22,8.3,3,22,2130,75
250,148,Lipscomb,148,48295,148,4,249,3726065329.73828,244164.230370673,65400,,25,18,5.8,3,28,,79
89,149,Live Oak,149,48297,149,16,22,3621113025.02344,276214.104644715,54200,93,24,20,7.6,3,21,12210,76
45,150,Llano,150,48299,150,14,79,3396922490.14844,273821.33083964,55600,98,26,19,7.1,4,21,1820,81
141,151,Loving,151,48301,151,6,121,2435056392.0625,253938.138984944,88500,,24,20,6,0,16,170,80
222,152,Lubbock,152,48303,152,5,207,3371806283.03516,232394.433663649,54700,92,22,17,6.9,3,16,630,79
184,153,Lynn,153,48305,153,5,187,3310429687.04688,230252.540555055,45700,,18,20,6.2,2,20,,73
55,154,Madison,157,48313,154,17,89,1668186668.75781,235040.157902515,46300,97,28,20,8.3,7,21,4760,77
120,155,Marion,158,48315,155,19,173,1544960692.01172,238700.017965702,37900,98,29,24,9,3,19,9850,76
174,156,Martin,159,48317,156,6,154,3329487705.08594,230737.740588475,68700,94,18,18,6.3,8,19,,77
46,157,Mason,160,48319,157,14,80,3282361861.88281,230404.420981002,54900,,26,18,6.5,0,28,2140,80
97,158,Matagorda,161,48321,158,13,30,4700495699.04688,353354.748234394,49300,92,33,19,8,4,21,2290,74
91,159,Maverick,162,48323,159,22,24,4367132972.55078,344647.099684928,40000,92,26,18,7.1,13,28,3090,64
67,160,McCulloch,154,48307,160,23,101,3814298445.57031,298626.95594797,43300,94,23,19,6.5,2,20,2660,77
138,161,McLennan,155,48309,161,9,118,3795322698.89453,248566.65922743,51100,89,23,19,8.6,3,18,620,78
86,162,McMullen,156,48311,162,15,19,3908922585.24609,253844.964313611,68300,,26,16,7,12,14,740,80
5,163,Medina,163,48325,163,15,39,4583274741.44531,299528.362354838,60700,95,20,16,7.8,4,18,2870,78
50,164,Menard,164,48327,164,7,84,3183258949.07813,238416.876289277,38400,,27,17,6.1,5,28,,79
151,165,Midland,165,48329,165,6,131,3249060686.90234,228046.532620447,85800,90,24,15,6.6,6,16,1120,81
54,166,Milam,166,48331,166,17,88,3596463986.44141,274429.267644994,49000,92,34,21,8.1,4,19,3100,76
134,167,Mills,167,48333,167,23,114,2678821475.54688,290920.626707156,46900,,28,20,6.8,2,27,970,78
172,168,Mitchell,168,48335,168,8,152,3333490492.29688,231091.949582191,44500,94,19,19,6.1,3,21,,76
191,169,Montague,169,48337,169,3,214,3508767850.8125,258606.272017232,53600,94,29,21,7.8,2,23,3960,80
37,170,Montgomery,170,48339,170,12,71,3753938851.39844,323383.903283391,88800,93,18,16,10.2,4,18,1150,84
232,171,Moore,171,48341,171,4,247,3591983659.83203,239678.705051769,55100,98,21,19,6,10,25,6980,73
211,172,Morris,172,48343,172,19,195,954210346.617188,194773.722633441,43300,96,20,21,8.8,4,18,3100,79
198,173,Motley,173,48345,173,25,221,3746055368.79688,245128.645545821,40200,,25,20,5.9,6,19,,80
139,174,Nacogdoches,174,48347,174,11,119,3515542921.20313,485910.242164323,46200,93,30,21,8.9,4,21,960,77
163,175,Navarro,175,48349,175,18,143,3926523491.25391,294835.846225156,48600,94,23,21,8.4,5,22,1570,76
61,176,Newton,176,48351,176,20,95,3309528060.73047,444380.883307671,45900,96,22,24,8.7,0,20,6800,76
170,177,Nolan,177,48353,177,8,150,3324261361.44531,230526.512276037,46400,87,25,20,6.3,3,18,1630,76
78,178,Nueces,178,48355,178,16,10,3630707460.33203,381135.273526817,56100,91,25,16,9.2,5,20,830,76
251,179,Ochiltree,179,48357,179,4,250,3671225849.42969,242795.966151716,62600,98,33,18,5.8,6,27,3280,76
228,180,Oldham,180,48359,180,4,243,5865816133.94531,315944.45465933,59400,,22,19,5.4,4,15,2110,81
27,181,Orange,181,48361,181,20,61,1293835874.51172,200602.221104454,63000,93,38,21,8.9,3,16,4390,80
121,182,Palo Pinto,182,48363,182,2,174,3618700184.23047,245046.640522014,50200,94,29,21,7.5,5,23,4860,78
171,183,Panola,183,48365,183,19,151,2975528269.73438,248045.126205128,56900,97,25,21,9.1,2,19,7730,78
122,184,Parker,184,48367,184,2,175,3328887764.59766,231043.482904148,82500,96,25,17,8.3,3,18,1810,83
239,185,Parmer,185,48369,185,5,233,3386260214,232708.00906325,50600,93,24,18,6.1,10,28,,72
62,186,Pecos,186,48371,186,6,96,16769576336.5938,728746.705557496,52800,92,27,18,6.2,4,24,3960,73
58,187,Polk,187,48373,187,11,92,3910236107.28516,333214.03047107,50400,93,34,22,8.7,4,22,2330,76
227,188,Potter,188,48375,188,4,242,3601822129.57813,240101.350859865,41100,90,24,20,6.4,6,24,460,74
41,189,Presidio,189,48377,189,24,75,13361579314.9727,635231.235608154,33500,92,23,22,5.4,8,32,2230,60
176,190,Rains,190,48379,190,1,179,950609227.648438,162255.25401352,65700,88,18,21,8.3,4,22,2500,80
243,191,Randall,191,48381,191,4,237,3565310043.37891,238970.014322462,70700,95,27,15,6.4,2,13,1080,84
126,192,Reagan,192,48383,192,7,106,4190260260.84375,261514.308907345,67400,,20,17,6.1,2,21,,75
15,193,Real,193,48385,193,7,49,2417092201.33984,222651.930053677,40800,,22,21,6.2,2,24,3450,75
193,194,Red River,194,48387,194,1,216,3961012684.78516,437694.089825302,41300,,37,23,8.7,1,19,3010,77
142,195,Reeves,195,48389,195,6,122,9409997946.54688,556320.838579937,49000,91,25,18,6.1,5,22,15980,72
84,196,Refugio,196,48391,196,16,16,2705026940.20703,360809.08865276,46900,,29,18,7.4,4,17,6950,75
230,197,Roberts,197,48393,197,4,245,3647068215.16016,241322.053633068,70700,,19,18,5.8,0,13,850,83
63,198,Robertson,198,48395,198,17,97,3061969639.24609,298686.070824327,47000,95,36,20,8.1,3,21,8540,78
175,199,Rockwall,199,48397,199,18,178,547404624.152344,93641.1877356568,105800,97,27,14,8.8,2,14,780,86
145,200,Runnels,200,48399,200,7,125,3801048679.67969,246856.668341273,48700,94,20,19,6.4,2,20,2570,77
166,201,Rusk,201,48401,201,10,146,3400469934.84766,295930.720567811,56000,94,30,21,9.1,3,22,3890,77
135,202,Sabine,202,48403,202,11,115,2053130768.01953,242850.593767569,43800,94,30,24,8.4,2,19,10540,77
136,203,San Augustine,203,48405,203,11,116,2112901288.77344,310607.158856821,40100,,29,23,8.5,5,20,8240,75
47,204,San Jacinto,204,48407,204,11,81,2202546838.06641,263747.994318856,42600,90,23,23,8.7,3,23,9620,76
81,205,San Patricio,205,48409,205,16,13,2360233679.96484,355834.395474408,57300,94,33,17,8,6,18,2570,75
66,206,San Saba,206,48411,206,23,100,4037124195.02344,373912.991633957,46100,,25,21,6.7,2,28,3030,75
51,207,Schleicher,207,48413,207,7,85,4638027337.97656,286122.15806556,53300,,20,16,6,6,25,2790,78
116,208,Scurry,208,48415,208,8,169,3340325201.54297,230509.584152928,56300,91,23,20,6.2,4,19,4180,76
111,209,Shackelford,209,48417,209,8,164,3361289435.08203,231850.562928461,65100,,20,20,6.4,4,21,1630,81
153,210,Shelby,210,48419,210,11,133,3000701913.85156,315518.616095611,39700,94,36,23,8.9,4,25,1810,74
247,211,Sherman,211,48421,211,4,252,3685492306.47656,242891.506341375,55500,,27,18,5.6,3,28,,78
106,212,Smith,212,48423,212,10,159,3458678800.73047,354320.734849247,59500,92,23,19,8.9,3,22,810,79
162,213,Somervell,213,48425,213,2,142,695392481.15625,108518.003201184,67900,81,24,20,7.5,9,18,4560,79
71,214,Starr,214,48427,214,21,3,3997022793.23633,302727.660067713,32500,91,26,20,7.9,13,30,5880,59
113,215,Stephens,215,48429,215,23,166,3383226317.37891,232516.816108765,46700,88,29,22,6.6,3,24,3120,76
149,216,Sterling,216,48431,216,7,129,3321781856.30078,237724.723190858,66800,,19,18,6,3,18,,78
179,217,Stonewall,217,48433,217,8,182,3438723337.92188,234698.258883524,48300,,21,20,6.1,5,20,450,79
38,218,Sutton,218,48435,218,7,72,5074953303.00391,296299.593322837,63400,,18,15,6,7,20,,79
237,219,Swisher,219,48437,219,5,231,3450308078.46484,234981.362935943,44400,90,19,22,6.3,5,23,,71
224,220,Tarrant,220,48439,220,2,176,3320358525.94922,230694.577089603,70100,91,23,15,8.5,5,19,760,79
168,221,Taylor,221,48441,221,8,148,3342056462.18359,231664.622977122,54500,93,25,18,6.7,2,17,560,80
36,222,Terrell,222,48443,222,6,70,8210230573.01563,461088.866178952,45700,,24,18,6.3,0,19,780,74
205,223,Terry,223,48445,223,5,189,3301207158.22266,229751.906988125,43000,95,26,21,6.2,5,25,12340,71
182,224,Throckmorton,224,48447,224,3,185,3393487325.04297,233059.07130594,42700,,30,20,6.4,1,24,1500,80
214,225,Titus,225,48449,225,19,199,1583638394.04297,250386.004020026,49900,96,29,20,8.9,9,22,1560,74
131,226,Tom Green,226,48451,226,7,111,5493784756.03906,414325.139067303,54800,90,25,17,6.5,3,17,640,79
34,227,Travis,227,48453,227,14,68,3575026008.78906,294352.531929429,80700,92,15,13,9.2,4,15,340,84
65,228,Trinity,228,48455,228,11,99,2526117594.27734,268132.461654675,43800,93,26,22,8.6,3,21,7330,77
57,229,Tyler,229,48457,229,20,91,3293011335.89063,319918.947226409,48300,96,36,22,8.3,5,18,3610,78
119,230,Upshur,230,48459,230,19,172,2175255331.69141,217887.436822856,53100,95,29,21,8.9,5,21,2610,80
127,231,Upton,231,48461,231,6,107,4424632096.375,267053.326823645,58900,,20,19,6.3,4,19,,74
1,232,Uvalde,232,48463,232,15,35,5353345968.95703,293254.502147062,44700,88,25,18,6.9,5,24,1910,71
23,233,Val Verde,233,48465,233,22,57,11177468161.7852,531072.535269747,45000,82,19,17,6.9,7,22,1890,70
110,234,Van Zandt,234,48467,234,10,163,3143285716.37109,290387.126792977,55600,92,27,20,8.6,3,21,2980,79
94,235,Victoria,235,48469,235,13,27,3007922114,324885.418419239,57300,89,29,17,7.9,5,18,640,77
53,236,Walker,236,48471,236,17,87,2817916034.87109,260265.268736509,47500,78,22,20,8.7,3,20,1780,77
24,237,Waller,237,48473,237,12,58,1794914852.80859,291622.798818104,61800,95,31,19,9.3,7,23,3680,77
130,238,Ward,238,48475,238,6,110,2986966034.61719,347339.606785256,61400,97,28,18,6.3,4,19,6000,75
29,239,Washington,239,48477,239,17,63,2161690737.95313,300186.510755569,59000,93,37,19,8.1,3,19,1790,80
82,240,Webb,240,48479,240,22,14,11203043901.4453,557824.583900912,52600,94,32,17,7.5,14,30,2940,65
4,241,Wharton,241,48481,241,13,38,3738449441.18359,291067.695781176,49900,97,24,19,8.3,4,23,2310,75
245,242,Wheeler,242,48483,242,25,239,3575198593.85156,239257.631392589,58500,,26,20,6,6,26,1690,78
195,243,Wichita,243,48485,243,3,218,2335792076.76172,223210.064784824,51500,96,30,20,7.6,3,17,630,78
